City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,papao,-17.75,-149.55,25.900000000000034,82,73,4.73,PF,1723129402
98,berdigestyakh,62.0989,126.6992,11.350000000000023,74,83,1.54,RU,1723129403
99,aasiaat,68.7098,-52.8699,3.480000000000018,91,99,3.88,GL,1723129406
100,obudu,6.6674,9.1716,27.760000000000048,73,63,3.3,NG,1723129407
101,la ligua,-32.4524,-71.2311,13.560000000000002,52,0,0.97,CL,1723129408
102,praia,14.9215,-23.5087,29.30000000000001,61,40,7.2,CV,1723129409
103,karymskoye,51.6167,114.35,14.420000000000016,91,1,0.61,RU,1723129410
104,new norfolk,-42.7826,147.0587,9.830000000000041,92,100,1.93,AU,1723129411
105,zlotoryja,51.1264,15.9198,18.870000000000005,86,100,1.38,PL,1723129132
106,hilton head island,32.2163,-80.7526,29.0,77,75,7.2,US,1723129413
107,chulakkurgan,43.765,69.1814,33.31,16,0,1.85,KZ,1723129414
108,carinhanha,-14.3047,-43.765,31.220000000000027,30,0,1.84,BR,1723129416
109,queenstown,-31.8976,26.8753,23.07000000000005,10,0,9.83,ZA,1723129417
110,la ronge,55.1001,-105.2842,14.140000000000043,72,20,2.06,CA,1723129418
111,bam,29.106,58.357,37.72000000000003,7,3,4.38,IR,1723129419
112,mana,5.6592,-53.7767,29.53000000000003,68,5,3.73,GF,1723129420
113,vila franca do campo,37.7167,-25.4333,26.30000000000001,57,0,2.22,PT,1723129421
114,badger,64.8,-147.5333,16.930000000000007,89,75,2.06,US,1723129422
115,geraldton,-28.7667,114.6,12.230000000000018,94,0,3.6,AU,1723129423
116,san isidro,-12.1167,-77.05,17.230000000000018,85,100,2.57,PE,1723129424
117,tabas,33.5959,56.9244,45.120000000000005,8,0,3.09,IR,1723129425
118,port mathurin,-19.6833,63.4167,22.5,67,49,7.87,MU,1723129426
119,coquimbo,-29.9533,-71.3436,11.850000000000023,76,0,1.54,CL,1723129148
120,ruiz,21.95,-105.15,26.560000000000002,88,100,0.97,MX,1723129429
121,takoradi,4.8845,-1.7554,24.560000000000002,77,100,5.25,GH,1723129430
122,portland,45.5234,-122.6762,20.510000000000048,80,62,1.34,US,1723129207
123,eureka,40.8021,-124.1637,13.580000000000041,86,63,1.15,US,1723129432
124,guerrero negro,27.9769,-114.0611,23.57000000000005,62,0,4.09,MX,1723129433
125,murzuq,25.9155,13.9184,41.150000000000034,9,12,7.24,LY,1723129394
126,rio grande,-32.035,-52.0986,13.980000000000018,60,24,3.88,BR,1723129435
127,kristiansund,63.1115,7.732,17.360000000000014,63,40,6.69,NO,1723129436
128,edinburgh of the seven seas,-37.0676,-12.3116,10.300000000000011,84,100,12.49,SH,1723129437
129,mankono,8.0586,-6.1897,27.220000000000027,69,100,3.62,CI,1723129439
130,visby,57.6409,18.296,23.120000000000005,68,75,5.14,SE,1723129440
131,urzhar,47.093,81.6294,27.52000000000004,24,3,1.53,KZ,1723129441
132,north bay,46.3168,-79.4663,18.010000000000048,67,100,4.12,CA,1723129442
133,severo-yeniseyskiy,60.3725,93.0408,14.29000000000002,81,97,0.3,RU,1723129443
134,kodiak,57.79,-152.4072,9.730000000000018,93,0,1.54,US,1723129444
135,bredasdorp,-34.5322,20.0403,15.950000000000045,66,29,5.08,ZA,1723129445
136,polyarnyy,69.1989,33.4478,20.840000000000032,42,97,4.17,RU,1723129446
137,klaksvik,62.2266,-6.589,11.470000000000027,86,15,4.83,FO,1723129447
138,anadyr,64.75,177.4833,5.28000000000003,100,75,1.0,RU,1723129449
139,carnarvon,-24.8667,113.6333,18.860000000000014,71,0,7.07,AU,1723129450
140,agat village,13.3886,144.6585,27.52000000000004,94,0,1.54,GU,1723129451
141,palmer,42.1584,-72.3287,20.850000000000023,58,87,3.36,US,1723129452
142,piacabucu,-10.4056,-36.4344,25.07000000000005,80,40,4.73,BR,1723129454
143,vernon,50.2581,-119.2691,18.58000000000004,50,0,2.24,CA,1723129178
144,cururupu,-1.8283,-44.8683,33.58000000000004,38,7,3.25,BR,1723129456
145,bethel,41.3712,-73.414,19.77000000000004,93,100,2.06,US,1723129209
146,ushuaia,-54.8,-68.3,1.8100000000000023,93,20,1.54,AR,1723129372
147,lihue,21.9789,-159.3672,23.77000000000004,83,0,4.63,US,1723129460
148,papatowai,-46.5619,169.4708,7.6299999999999955,89,98,1.63,NZ,1723129461
149,pacific grove,36.6177,-121.9166,12.590000000000032,96,75,1.54,US,1723129462
150,ilulissat,69.2167,-51.1,6.010000000000048,93,75,1.54,GL,1723129463
151,port-gentil,-0.7193,8.7815,26.980000000000018,69,20,6.17,GA,1723129465
152,mount isa,-20.7333,139.5,17.870000000000005,32,0,2.06,AU,1723129466
153,bikenibeu village,1.3673,173.1241,27.980000000000018,78,75,1.54,KI,1723129467
154,ribeira grande,38.5167,-28.7,25.99000000000001,69,20,4.47,PT,1723129468
155,cabo san lucas,22.8909,-109.9124,30.420000000000016,59,53,0.45,MX,1723129201
156,st. john's,47.5649,-52.7093,21.82000000000005,59,20,10.29,CA,1723129466
157,mil'kovo,55.6078,37.7956,20.910000000000025,70,72,3.39,RU,1723129472
158,tazovsky,67.4667,78.7,10.450000000000045,65,61,6.04,RU,1723129473
159,kununurra,-15.7667,128.7333,18.99000000000001,68,76,0.0,AU,1723129474
160,fort bragg,35.139,-79.006,25.930000000000007,96,100,2.24,US,1723129277
161,shimoda,34.6667,138.95,26.410000000000025,87,0,1.58,JP,1723129478
162,kupang,-10.1667,123.5833,26.32000000000005,83,2,4.12,ID,1723129479
163,alofi,-19.0595,-169.9187,18.939999999999998,72,100,1.03,NU,1723129480
164,longyearbyen,78.2186,15.6401,13.910000000000025,77,0,3.6,SJ,1723129481
165,ust-nera,64.5667,143.2,7.740000000000009,89,6,1.0,RU,1723129482
166,ulanhot,46.0833,122.0833,21.58000000000004,53,61,2.07,CN,1723129483
167,belmonte,-15.8631,-38.8828,25.850000000000023,55,21,3.3,BR,1723129484
168,sao joao da barra,-21.6403,-41.0511,25.25,60,0,5.2,BR,1723129485
169,magadan,59.5667,150.8,11.260000000000048,96,55,2.09,RU,1723129486
170,fale old settlement,-9.3852,-171.2468,27.660000000000025,79,88,9.15,TK,1723129488
171,rawson,-43.3002,-65.1023,7.640000000000043,49,3,7.73,AR,1723129489
172,letterkenny,54.95,-7.7333,14.629999999999995,98,100,3.72,IE,1723129491
173,kot samaba,28.5522,70.4684,36.55000000000001,43,11,4.98,PK,1723129492
174,ghanzi,-21.5667,21.7833,30.420000000000016,8,0,4.89,BW,1723129249
175,newman,37.3138,-121.0208,22.80000000000001,59,0,1.79,US,1723129494
176,karratha,-20.7377,116.8463,22.30000000000001,48,53,3.69,AU,1723129495
177,ewarton,18.1808,-77.0766,31.370000000000005,50,96,2.94,JM,1723129496
178,phongsali,21.6833,102.1058,18.960000000000036,95,2,1.12,LA,1723129497
179,cooper's town,26.8667,-77.5167,28.840000000000032,78,42,6.47,BS,1723129498
180,vinh,18.6667,105.6667,28.710000000000036,71,0,1.97,VN,1723129500
181,chokwe,-24.5333,32.9833,29.090000000000032,28,0,3.67,MZ,1723129501
182,nuku'alofa,-21.1333,-175.2,20.189999999999998,73,20,4.12,TO,1723129502
183,minas de marcona,-15.2119,-75.1103,12.680000000000007,75,77,5.92,PE,1723129503
184,pekanbaru,0.5333,101.45,27.180000000000007,83,72,0.0,ID,1723129504
185,sechura,-5.5569,-80.8222,20.900000000000034,64,11,5.24,PE,1723129505
186,esmeraldas,-19.7625,-44.3139,27.370000000000005,25,0,2.51,BR,1723129234
187,alliance,40.9153,-81.1059,25.920000000000016,85,91,5.15,US,1723129507
188,west bay,19.3667,-81.4167,32.25,66,20,4.12,KY,1723129508
189,kailua-kona,19.6406,-155.9956,24.980000000000018,84,100,2.57,US,1723129509
190,robore,-18.3333,-59.75,16.05000000000001,100,100,0.0,BO,1723129511
191,lucea,18.451,-78.1736,29.960000000000036,68,100,2.59,JM,1723129512
192,cidreira,-30.1811,-50.2056,14.689999999999998,86,98,4.06,BR,1723129513
193,princeton,25.5384,-80.4089,31.120000000000005,76,83,0.89,US,1723129256
194,udachny,66.4167,112.4,11.189999999999998,88,98,4.78,RU,1723129515
195,whitby,54.4877,-0.615,17.860000000000014,83,100,0.45,GB,1723129516
196,balkanabat,39.5108,54.3671,35.33000000000004,30,84,8.2,TM,1723129517
197,ebon,4.582,168.6964,27.75,75,99,2.69,MH,1723129518
198,mwinilunga,-11.7358,24.4293,28.99000000000001,10,22,3.77,ZM,1723129519
199,mahanoro,-19.9,48.8,21.83000000000004,76,0,2.7,MG,1723129520
200,cestos city,5.46,-9.5828,24.879999999999995,73,100,4.04,LR,1723129521
201,nuuk,64.1835,-51.7216,6.340000000000032,87,100,2.57,GL,1723129523
202,dolinsk,47.35,142.8,19.0,99,100,0.7,RU,1723129524
203,quellon,-43.1167,-73.6167,7.590000000000032,83,100,3.39,CL,1723129327
204,constantia,44.1833,28.65,25.410000000000025,56,0,3.27,RO,1723129526
205,sitka,57.0531,-135.33,16.900000000000034,82,1,0.06,US,1723129242
206,gaspe,48.8334,-64.4819,19.120000000000005,45,40,4.63,CA,1723129528
207,big bend,-26.8167,31.9333,32.05000000000001,23,0,2.57,SZ,1723129529
208,jackson,42.4165,-122.8345,18.930000000000007,57,0,0.89,US,1723129530
209,fenoarivo atsinanana,-17.3667,49.4167,21.629999999999995,74,0,2.66,MG,1723129531
210,charters towers,-20.1,146.2667,17.210000000000036,81,98,5.43,AU,1723129533
211,peniche,39.3558,-9.3811,23.450000000000045,80,77,7.18,PT,1723129534
212,port alfred,-33.5906,26.891,17.879999999999995,90,0,1.79,ZA,1723129535
213,saint-pierre,-21.3393,55.4781,21.82000000000005,78,75,8.23,RE,1723129537
